HWGT,FSNETINC,RAWERND,TANF_IND,FSSSI,FSUSIZE,FSGRINC,FSGA,FSNELDER,FSSTDDE2,FSTOTDED,FSDIS,FSERNDED,REALPROP,FSTANF,SHELDED,CERTHHSZ,FSWAGES,FSERNDE2,RAWNET,FSNONCIT,FSASSET,FSTOTDE2,FSSLTDED,LIQRESOR,WRK_POOR,FSUNEARN,FSSLTDE2,FSEARN,TPOV,CAT_ELIG,FSVEHAST,VEHICLEA
902.3652690692352,608.0,0.0,1.0,603.0,3.0,913.0,0.0,0.0,201.0,305.0,1.0,0.0,0.0,310.0,172.0,3.0,0.0,0.0,607.0,0.0,0.0,305.0,171.0,0.0,0.0,913.0,171.0,0.0,66.0,1.0,0.0,1.0
987.9280819007809,737.0,295.0,0.0,0.0,6.0,1477.0,0.0,0.0,262.0,740.0,0.0,295.0,0.0,0.0,76.0,6.0,1477.0,371.0,737.0,0.0,0.0,740.0,76.0,0.0,1.0,0.0,76.0,1477.0,66.0,0.0,0.0,1.0
710.0141901614803,18.0,0.0,1.0,0.0,3.0,569.0,0.0,0.0,134.0,551.0,0.0,0.0,0.0,389.0,417.0,3.0,0.0,0.0,18.0,0.0,0.0,551.0,417.0,0.0,0.0,569.0,417.0,0.0,41.0,1.0,0.0,1.0
1147.1453292917702,1314.0,373.0,0.0,0.0,4.0,1866.0,0.0,0.0,179.0,552.0,0.0,373.0,0.0,0.0,40.0,4.0,1866.0,413.0,1314.0,0.0,14.0,552.0,40.0,14.0,1.0,0.0,40.0,1866.0,112.0,0.0,0.0,1.0
759.4717823678724,147.0,0.0,0.0,603.0,1.0,603.0,0.0,1.0,201.0,456.0,0.0,0.0,0.0,0.0,323.0,1.0,0.0,0.0,147.0,0.0,0.0,456.0,322.0,0.0,0.0,603.0,322.0,0.0,74.0,1.0,0.0,1.0
705.4012962642042,0.0,26.0,1.0,0.0,2.0,372.0,0.0,0.0,5.0,568.0,0.0,25.0,0.0,243.0,410.0,2.0,129.0,0.0,0.0,0.0,0.0,372.0,409.0,0.0,1.0,243.0,213.0,129.0,34.0,1.0,0.0,1.0
845.3233938499369,411.0,0.0,0.0,165.0,1.0,623.0,0.0,0.0,201.0,212.0,1.0,0.0,0.0,0.0,79.0,1.0,0.0,0.0,411.0,0.0,0.0,212.0,78.0,0.0,0.0,623.0,78.0,0.0,76.0,1.0,0.0,1.0
961.580602814927,657.0,247.0,0.0,0.0,5.0,1234.0,0.0,0.0,243.0,577.0,0.0,246.0,0.0,0.0,169.0,5.0,1234.0,369.0,656.0,0.0,0.0,577.0,169.0,0.0,1.0,0.0,169.0,1234.0,63.0,0.0,0.0,1.0
777.946179776418,204.0,0.0,0.0,603.0,1.0,603.0,0.0,0.0,201.0,399.0,1.0,0.0,0.0,0.0,266.0,1.0,0.0,0.0,204.0,0.0,0.0,399.0,265.0,0.0,0.0,603.0,265.0,0.0,74.0,1.0,0.0,1.0
704.580543870799,0.0,74.0,0.0,0.0,3.0,368.0,0.0,0.0,0.0,624.0,0.0,73.0,0.0,0.0,400.0,3.0,368.0,0.0,0.0,0.0,0.0,368.0,417.0,0.0,1.0,0.0,161.0,368.0,27.0,0.0,0.0,1.0
808.3745990311855,298.0,0.0,0.0,603.0,1.0,603.0,0.0,0.0,201.0,305.0,1.0,0.0,0.0,0.0,172.0,1.0,0.0,0.0,298.0,0.0,0.0,305.0,171.0,0.0,0.0,603.0,171.0,0.0,74.0,1.0,0.0,1.0
811.9007636838924,326.0,144.0,0.0,0.0,2.0,720.0,0.0,0.0,201.0,394.0,0.0,144.0,0.0,0.0,91.0,2.0,720.0,216.0,326.0,0.0,0.0,394.0,91.0,0.0,1.0,0.0,91.0,720.0,65.0,0.0,0.0,1.0
869.2314375616089,504.0,0.0,0.0,0.0,1.0,638.0,0.0,0.0,134.0,134.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,504.0,1.0,0.0,134.0,0.0,0.0,0.0,638.0,0.0,0.0,78.0,0.0,0.0,1.0
